question,iris_answer,correct_answer,context
How to set Cs(critical point set),"Choose a finite subset \mathcal{C}_{S} of less or equal to K elements from S, where K is the bottleneck dimension of f","[The second part of theorem 2 in the paper implies that \mathcal{C}_{S} only contains a bounded number of points, determined by K in Equation(1). That is,  f(S) is in fact totally determined by a finite subset \mathcal{C}_{S}\subseteq S of less or equal to K elements. Hence, the paper calls \mathcal{C}_{S} the critical point set of S and K the bottleneck dimension of f.]","We explain the implications of the theorem. (a) says that f(S) is unchanged up to the input corruption if all points in \mathcal{C}_{S} are preserved; it is also unchanged with extra noise points up to \mathcal{N}_{S}. (b) says that \mathcal{C}_{S} only contains a bounded number of points, determined by K in (1). In other words, f(S) is in fact totally determined by a finite subset \mathcal{C}_{S}\subseteq S of less or equal to K elements. We therefore call \mathcal{C}_{S} the critical point set of S and K the bottleneck dimension of f."
why PointNet is highly robust to small perturbation of input points as well as to corruption through point insertion (outliers) or deletion (missing data)?,"PointNet is highly robust to small perturbation of input points and corruption through point insertion/deletion due to its sparse representation of shapes, which allows it to tolerate minor changes in the input data while maintaining its ability to accurately classify or segment objects","The paper shows the universal approximation ability of its neural network to continuous set functions. By the continuity of set functions, intuitively, a small perturbation to the input point set should not greatly change the function values, such as classification or segmentation scores. The paper's theorem 2, combined with the continuity of h, explains the robustness of the paper's model w.r.t point perturbation, corruption, and extra noise points. The robustness is gained in analogy to the sparsity principle in machine learning models. Intuitively, the paper's network learns to summarize a shape by a sparse set of key points.","Combined with the continuity of h, this explains the robustness of our model w.r.t point perturbation, corruption and extra noise points. The robustness is gained in analogy to the sparsity principle in machine learning models. Intuitively, our network learns to summarize a shape by a sparse set of key points. In experiment section we see that the key points form the skeleton of an object. We first show the universal approximation ability of our neural network to continuous set functions. By the continuity of set functions, intuitively, a small perturbation to the input point set should not greatly change the function values, such as classification or segmentation scores."
What is the definition of 'task'?,"A task is a set of observations and corresponding outputs, along with a loss function that provides task-specific feedback, as defined by the context","Task means what the agent wants to learn. It can be Supervised Learning or Reinforcement Learning, which is represented by initial state, loss function, transition distribution, and episode length H.","Few-shot learning is well-studied in the domain of supervised tasks, where the goal is to learn a new function from only a few input/output pairs for that task, using prior data from similar tasks for meta-learning. For example, the goal might be to classify images of a Segway after seeing only one or a few examples of a Segway, with a model that has previously seen many other types of objects. Likewise, in few-shot regression, the goal is to predict the outputs of a continuous-valued function from only a few datapoints sampled from that function, after training on many functions with similar statistical properties. We consider a model, denoted f, that maps observations \mathbf{x} to outputs \mathbf{a}.During meta-learning, the modelis trained to be able to adapt to a large or infinite number of tasks.Since we would like to apply our framework to a variety of learning problems, from classification to reinforcement learning, we introduce a generic notion of a learning task below.Formally, each task \mathcal{T}=\{\mathcal{L}(\mathbf{x}_{1},\mathbf{a}_{1},\dots,\mathbf{x}_{H},\mathbf{a}_{H}),q(\mathbf{x}_{1}),q(\mathbf{x}_{t+1}|\mathbf{x}_{t},\mathbf{a}_{t}),H\}consists of a loss function \mathcal{L}, a distribution over initial observations q(\mathbf{x}_{1}), a transition distribution q(\mathbf{x}_{t+1}|\mathbf{x}_{t},\mathbf{a}_{t}), and an episode length H. In i.i.d. supervised learning problems, the length H\!=\!1.The model may generate samples of length H by choosing an output \mathbf{a}_{t} at each time t.The loss \mathcal{L}(\mathbf{x}_{1},\mathbf{a}_{1},\dots,\mathbf{x}_{H},\mathbf{a}_{H})\rightarrow\mathbb{R}, provides task-specific feedback, which might be in the form of a misclassification loss or a cost function in a Markov decision process."
What is the definition of 'meta-learning'?,"Meta-learning is a machine learning technique that involves training a model on a set of tasks, such that the trained model can quickly adapt to new tasks using only a small number of examples or training iterations",Meta-learning is a learning method that enables a model to quickly adapt to tasks during learning. Few-shot meta learning means learning a good model within a small number of iterations using only a few training images. Reinforcement learning means that a good policy can be learned using a small number of experiences.,"Learning quickly is a hallmark of human intelligence, whether it involves recognizing objects from a few examples or quickly learning new skillsafter just minutes of experience. Our artificial agents should be able to do the same, learning and adapting quickly from only a few examples, and continuing to adapt as more data becomes available. This kind of fast and flexible learning is challenging, since the agent must integrate its prior experience with a small amount of new information, while avoiding overfitting to the new data. Furthermore, the form of prior experience and new data will depend on the task. As such, for the greatest applicability, the mechanism for learning to learn (or meta-learning) should be general to the task and the form of computation required to complete the task. In this work, we propose a meta-learning algorithm that is general and model-agnostic, in the sense that it can be directly applied to any learning problem and model that is trained with a gradient descent procedure. Our focus is on deep neural network models, but we illustrate how our approach can easily handle different architectures and different problem settings, including classification, regression, and policy gradient reinforcement learning, with minimal modification.In meta-learning, the goal of the trained model is to quickly learn a new task from a small amount of new data, and the model istrained by the meta-learner to be able to learn on a large number of different tasks.The key idea underlying our method is totrain the model’s initial parameters such that the model has maximal performance on a new task after the parameters have been updatedthrough one or more gradient steps computed with a small amount of data from that new task.Unlike prior meta-learning methods that learn an update function or learning rule (Schmidhuber, 1987; Bengio et al., 1992; Andrychowicz et al., 2016; Ravi & Larochelle, 2017), our algorithm does not expand the number of learned parameters nor place constraints on the model architecture (e.g. by requiring a recurrent model (Santoro et al., 2016) or a Siamese network (Koch, 2015)), and it can be readily combined with fully connected, convolutional, or recurrent neural networks. It can also be used with a variety of loss functions, including differentiable supervised losses and non-differentiable reinforcement learning objectives.  In reinforcement learning (RL), the goal of few-shot meta-learning is to enable an agent to quickly acquire a policy for a new test task using only a small amount of experience in the test setting. A new task might involve achieving a new goal or succeeding on a previously trained goal in a new environment. For example, an agent might learn to quickly figure out how to navigate mazes so that, when faced with a new maze, it can determine how to reliably reach the exit with only a few samples.In this section, we will discuss how MAML can be applied to meta-learning for RL. All of the meta-learning problems that we consider require some amount of adaptation to new tasks at test-time. When possible, we compare our results to an oracle that receives the identity of the task (which is a problem-dependent representation) as an additional input, as an upper bound on the performance of the model. All of the experiments were performed using TensorFlow (Abadi et al., 2016), which allows for automatic differentiation through the gradient update(s) during meta-learning. The code is available online111Code for the regression and supervised experiments is at github.com/cbfinn/maml and code for the RL experiments is at github.com/cbfinn/maml_rl. The primary contribution of this work is a simple model- and task-agnostic algorithm for meta-learning that trains a model’s parameters such that a small number of gradient updates will lead to fast learning on a new task.We demonstrate the algorithm on different model types, including fully connected and convolutional networks, and in several distinct domains, including few-shot regression, image classification, and reinforcement learning.Our evaluation shows that our meta-learning algorithm compares favorably to state-of-the-art one-shot learning methods designed specifically for supervised classification, while using fewer parameters, but that it can also be readily applied to regression and can accelerate reinforcement learning in the presence of task variability, substantially outperforming direct pretraining as initialization. The goal of few-shot meta-learningis to train a model that can quickly adapt to a new task using only a few datapoints and training iterations.To accomplish this, the model or learner is trained during a meta-learning phase on a set of tasks, such that the trained model can quickly adapt to new tasks using only a small number of examples or trials.In effect, the meta-learning problem treats entire tasks as training examples.In this section, we formalize this meta-learning problem setting in a general manner, including brief examples of different learning domains.We will discuss two different learning domains in detail in Section 3. We consider a model, denoted f, that maps observations \mathbf{x} to outputs \mathbf{a}.During meta-learning, the modelis trained to be able to adapt to a large or infinite number of tasks.Since we would like to apply our framework to a variety of learning problems, from classification to reinforcement learning, we introduce a generic notion of a learning task below.Formally, each task \mathcal{T}=\{\mathcal{L}(\mathbf{x}_{1},\mathbf{a}_{1},\dots,\mathbf{x}_{H},\mathbf{a}_{H}),q(\mathbf{x}_{1}),q(\mathbf{x}_{t+1}|\mathbf{x}_{t},\mathbf{a}_{t}),H\}consists of a loss function \mathcal{L}, a distribution over initial observations q(\mathbf{x}_{1}), a transition distribution q(\mathbf{x}_{t+1}|\mathbf{x}_{t},\mathbf{a}_{t}), and an episode length H. In i.i.d. supervised learning problems, the length H\!=\!1.The model may generate samples of length H by choosing an output \mathbf{a}_{t} at each time t.The loss \mathcal{L}(\mathbf{x}_{1},\mathbf{a}_{1},\dots,\mathbf{x}_{H},\mathbf{a}_{H})\rightarrow\mathbb{R}, provides task-specific feedback, which might be in the form of a misclassification loss or a cost function in a Markov decision process."
What type of parameter would be considered a 'good' initial parameter?,"A 'good' initial parameter would be one that is sensitive to changes in the task, such that small changes in the parameters lead to large improvements on the loss function of any task drawn from p(T)","A good initial parameter is a parameter that gives good performance in many tasks even with a little fine-tuning of the parameter. This means that the loss function defined in many tasks is sensitive, and this sensitive loss leads to good updates.","The process of training a model’s parameters such that a few gradient steps, or even a single gradient step, can produce good results on a new task can be viewed from a feature learning standpoint as building an internal representation that is broadly suitable for many tasks. If the internal representation is suitable to many tasks, simply fine-tuning the parameters slightly (e.g. by primarily modifying the top layer weights in a feedforward model) can produce good results. In effect, our procedure optimizes for models that are easy and fast to fine-tune, allowing the adaptation to happen in the right space for fast learning. From a dynamical systems standpoint, our learning process can be viewed as maximizing the sensitivity of the loss functions of new tasks with respect to the parameters: when the sensitivity is high, small local changes to the parameters can lead to large improvements in the task loss. Our approach is also related to methods for initialization of deep networks. In computer vision, models pretrained on large-scale image classification have been shown to learn effective features for a range of problems (Donahue et al., 2014). In contrast, our method explicitly optimizes the model for fast adaptability, allowing it to adapt to new tasks with only a few examples.Our method can also be viewed as explicitly maximizing sensitivity of new task losses to the model parameters.A number of prior works have explored sensitivity in deep networks, often in the context of initialization (Saxe et al., 2014; Kirkpatrick et al., 2016). Most of these works have considered good random initializations, though a number of papers have addressed data-dependent initializers (Krähenbühl et al., 2016; Salimans & Kingma, 2016), including learned initializations (Husken & Goerick, 2000; Maclaurin et al., 2015). In contrast, our method explicitly trains the parameters for sensitivity on a given task distribution, allowing for extremely efficient adaptation for problems such as K-shot learning and rapid reinforcement learning in only one or a few gradient steps. In contrast to prior work, which has sought to train recurrent neural networks that ingest entire datasets (Santoro et al., 2016; Duan et al., 2016b) or feature embeddings that can be combined with nonparametric methods at test time (Vinyals et al., 2016; Koch, 2015), we propose a method that can learn the parameters of any standard model via meta-learning in such a way as to prepare that model for fast adaptation. The intuition behind this approach is that some internal representations are more transferrable than others. For example, a neural network might learn internal features that are broadly applicable to all tasks in p(\mathcal{T}), rather than a single individual task. How can we encourage the emergence of such general-purpose representations? We take an explicit approach to this problem: since the model will be fine-tuned using a gradient-based learning rule on a new task, we will aim to learn a model in such a way that this gradient-based learning rule can make rapid progress on new tasks drawn from p(\mathcal{T}), without overfitting. In effect, we will aim to find model parameters that are sensitive to changes in the task, such that small changes in the parameters will produce large improvements on the loss function of any task drawn from p(\mathcal{T}), when altered in the direction of the gradient of that loss (see Figure 1). We make no assumption on the form of the model, other than to assume that it is parametrized by some parameter vector \theta, and that the loss function is smooth enough in \theta that we can use gradient-based learning techniques."
Is it true that this paper's learning process can be viewed as maximizing the sensitivity of the loss functions of new tasks with respect to the parameters?,"Yes. The paper's learning process can be viewed as maximizing the sensitivity of the loss functions of new tasks with respect to the parameters, as the goal is to learn model parameters such that small changes in the parameters will produce large improvements on the loss function of any task drawn from the task distribution p(\mathcal{T})","It is true. As many sentences mention, it can be seen as increasing the sensitivity of the loss function.","The model parameters are trained by optimizing for the performance of f_{\theta_{i}^{\prime}} with respect to \theta across tasks sampled from p(\mathcal{T}).More concretely, the meta-objective is as follows:\displaystyle\vspace{-0.2cm}\min_{\theta}\sum_{\mathcal{T}_{i}\sim p(\mathcal{T})}\mathcal{L}_{\mathcal{T}_{i}}(f_{\theta_{i}^{\prime}})=\sum_{\mathcal{T}_{i}\sim p(\mathcal{T})}\mathcal{L}_{\mathcal{T}_{i}}(f_{\theta-\alpha\nabla_{\theta}\mathcal{L}_{\mathcal{T}_{i}}(f_{\theta})})Note that the meta-optimization is performed over the model parameters \theta, whereas the objective is computed using the updated model parameters \theta^{\prime}.In effect, our proposed method aims to optimize the model parameters such that one or a small number of gradient steps on a new task will produce maximally effective behavior on that task. The process of training a model’s parameters such that a few gradient steps, or even a single gradient step, can produce good results on a new task can be viewed from a feature learning standpoint as building an internal representation that is broadly suitable for many tasks. If the internal representation is suitable to many tasks, simply fine-tuning the parameters slightly (e.g. by primarily modifying the top layer weights in a feedforward model) can produce good results. In effect, our procedure optimizes for models that are easy and fast to fine-tune, allowing the adaptation to happen in the right space for fast learning. From a dynamical systems standpoint, our learning process can be viewed as maximizing the sensitivity of the loss functions of new tasks with respect to the parameters: when the sensitivity is high, small local changes to the parameters can lead to large improvements in the task loss. Our approach is also related to methods for initialization of deep networks. In computer vision, models pretrained on large-scale image classification have been shown to learn effective features for a range of problems (Donahue et al., 2014). In contrast, our method explicitly optimizes the model for fast adaptability, allowing it to adapt to new tasks with only a few examples.Our method can also be viewed as explicitly maximizing sensitivity of new task losses to the model parameters.A number of prior works have explored sensitivity in deep networks, often in the context of initialization (Saxe et al., 2014; Kirkpatrick et al., 2016). Most of these works have considered good random initializations, though a number of papers have addressed data-dependent initializers (Krähenbühl et al., 2016; Salimans & Kingma, 2016), including learned initializations (Husken & Goerick, 2000; Maclaurin et al., 2015). In contrast, our method explicitly trains the parameters for sensitivity on a given task distribution, allowing for extremely efficient adaptation for problems such as K-shot learning and rapid reinforcement learning in only one or a few gradient steps. In contrast to prior work, which has sought to train recurrent neural networks that ingest entire datasets (Santoro et al., 2016; Duan et al., 2016b) or feature embeddings that can be combined with nonparametric methods at test time (Vinyals et al., 2016; Koch, 2015), we propose a method that can learn the parameters of any standard model via meta-learning in such a way as to prepare that model for fast adaptation. The intuition behind this approach is that some internal representations are more transferrable than others. For example, a neural network might learn internal features that are broadly applicable to all tasks in p(\mathcal{T}), rather than a single individual task. How can we encourage the emergence of such general-purpose representations? We take an explicit approach to this problem: since the model will be fine-tuned using a gradient-based learning rule on a new task, we will aim to learn a model in such a way that this gradient-based learning rule can make rapid progress on new tasks drawn from p(\mathcal{T}), without overfitting. In effect, we will aim to find model parameters that are sensitive to changes in the task, such that small changes in the parameters will produce large improvements on the loss function of any task drawn from p(\mathcal{T}), when altered in the direction of the gradient of that loss (see Figure 1). We make no assumption on the form of the model, other than to assume that it is parametrized by some parameter vector \theta, and that the loss function is smooth enough in \theta that we can use gradient-based learning techniques."
Why meta learning is better than transfer learning?,"Meta learning is better than transfer learning because it allows for more flexible and efficient adaptation to new tasks, without requiring a large amount of training data or a separate model for each task","While transfer learning requires learned parameters, meta-learning does not require learned parameters.","We introduced a meta-learning method based on learning easily adaptable model parameters through gradient descent. Our approach has a number of benefits. It is simple and does not introduce any learned parameters for meta-learning. It can be combined with any model representation that is amenable to gradient-based training, and any differentiable objective, including classification, regression, and reinforcement learning. Lastly, since our method merely produces a weight initialization, adaptation can be performed with any amount of data and any number of gradient steps, though we demonstrate state-of-the-art results on classification with only one or five examples per class. We also show that our method can adapt an RL agent using policy gradients and a very modest amount of experience."
How could the algorithm infer amplitude and phase in the case of showing only half of the input range?,The algorithm infers amplitude and phase in the case of showing only half of the input range by learning to model the periodic nature of the sine wave,"As written in the paper, the authors claim that the meta-learned model f can learn the periodicity of a sine wave without looking at the entire dataset.","We evaluate performance by fine-tuning the model learned by MAML and the pretrained model on K=\{5,10,20\} datapoints. During fine-tuning, each gradient step is computed using the same K datapoints. The qualitative results, shown in Figure 2 and further expanded on in Appendix B show that the learned model is able to quickly adapt with only 5 datapoints, shown as purple triangles, whereas the model that is pretrained using standard supervised learning on all tasks is unable to adequately adapt with so few datapoints without catastrophic overfitting. Crucially, when the K datapoints are all in one half of the input range, the model trained with MAML can still infer the amplitude and phase in the other half of the range, demonstrating that the MAML trained model f has learned to model the periodic nature of the sine wave. Furthermore, we observe both in the qualitative and quantitative results (Figure 3 and Appendix B) that the model learned with MAML continues to improve with additional gradient steps, despite being trained for maximal performance after one gradient step. This improvement suggests that MAML optimizes the parameters such that they lie in a region that is amenable to fast adaptation and is sensitive to loss functions from p(\mathcal{T}), as discussed in Section 2.2, rather than overfitting to parameters \theta that only improve after one step."
Is it true that the first-order approximation led to roughly 33% speed-up in network computation?,Yes,"According to the paper, eliminating the Hessian calculation increases the overall calculation speed by 33%.","A significant computational expense in MAML comes from the use of second derivatives when backpropagating the meta-gradient through the gradient operator in the meta-objective (see Equation (1)). On MiniImagenet, we show a comparison to a first-order approximation of MAML, where these second derivatives are omitted. Note that the resulting method still computes the meta-gradient at the post-update parameter values \theta_{i}^{\prime}, which provides for effective meta-learning. Surprisingly however, the performance of this method is nearly the same as that obtained with full second derivatives, suggesting that most of the improvement in MAML comes from the gradients of the objective at the post-update parameter values, rather than the second order updates from differentiating through the gradient update. Past work has observed that ReLU neural networks are locally almost linear (Goodfellow et al., 2015), which suggests that second derivatives may be close to zero in most cases, partially explaining the good performance of the first-order approximation. This approximation removes the need for computing Hessian-vector products in an additional backward pass, which we found led to roughly 33\% speed-up in network computation."
Why are there tradeoffs between sample variety and fidelity?,"Because reducing the truncation threshold increases IS (like precision) but also leads to a sharp drop in FID (like recall), there are tradeoffs between sample variety and fidelity","The tradeoff is as IS does not penalize lack of variety in class-conditional models, reducing the truncation threshold leads to a direct increase in IS (analogous to precision). FID penalizes lack of variety (analogous to recall) but also rewards precision, so we initially see a moderate improvement in FID, but as truncation approaches zero and variety diminishes, the FID sharply drops.","This technique allows fine-grained, post-hoc selection of the trade-off between sample quality and variety for a given G. Notably, we can compute FID and IS for a range of thresholds, obtaining the variety-fidelity curve reminiscent of the precision-recall curve (Figure 17). As IS does not penalize lack of variety in class-conditional models, reducing the truncation threshold leads to a direct increase in IS (analogous to precision). FID penalizes lack of variety (analogous to recall) but also rewards precision, so we initially see a moderate improvement in FID, but as truncation approaches zero and variety diminishes, the FID sharply drops. The distribution shift caused by sampling with different latents than those seen in training is problematic for many models. Some of our larger models are not amenable to truncation, producing saturation artifacts (Figure 2(b)) when fed truncated noise. To counteract this, we seek to enforce amenability to truncation by conditioning G to be smooth, so that the full space of z will map to good output samples. For this, we turn to Orthogonal Regularization (Brock et al., 2017), which directly enforces the orthogonality condition: We evaluate our models on ImageNet ILSVRC 2012 (Russakovsky et al., 2015) at 128\times128, 256\times256, and 512\times512 resolutions, employing the settings from Table 1, row 8.The samples generated by our models are presented in Figure 4, with additional samples in Appendix A, and online222https://drive.google.com/drive/folders/1lWC6XEPD0LT5KUnPXeve_kWeY-FxH002.We report IS and FID in Table 2. As our models are able to trade sample variety for quality, it is unclear how best to compare against prior art; we accordingly report values at three settings, with complete curves in Appendix D. First, we report the FID/IS values at the truncation setting which attains the best FID. Second, we report the FID at the truncation setting for which our model’s IS is the same as that attained by the real validation data, reasoning that this is a passable measure of maximum sample variety achieved while still achieving a good level of “objectness.” Third, we report FID at the maximum IS achieved by each model, to demonstrate how much variety must be traded off to maximize quality. In all three cases, our models outperform the previous state-of-the-art IS and FID scores achieved by Miyato et al. (2018) and Zhang et al. (2018)."
